iter	Passed	Remaining
0	139	111807
1	303	120967
2	475	126296
3	601	119683
4	731	116264
5	885	117237
6	1023	115992
7	1138	112712
8	1256	110398
9	1385	109475
10	1504	107922
11	1628	106965
12	1752	106078
13	1869	104968
14	1997	104556
15	2167	106199
16	2301	106025
17	2425	105366
18	2543	104543
19	2666	103979
20	2785	103332
21	2911	102974
22	3031	102396
23	3152	101915
24	3271	101406
25	3393	101030
26	3521	100809
27	3645	100520
28	3750	99706
29	3864	99198
30	3987	98915
31	4110	98641
32	4232	98374
33	4353	98076
34	4475	97818
35	4592	97472
36	4722	97394
37	4839	97054
38	4968	96941
39	5091	96743
40	5215	96557
41	5341	96404
42	5462	96168
43	5586	95993
44	5708	95773
45	5829	95559
46	5953	95380
47	6059	94927
48	6191	94888
49	6316	94752
50	6434	94492
51	6551	94244
52	6675	94088
53	6797	93906
54	6915	93669
55	7037	93499
56	7158	93310
57	7276	93094
58	7397	92902
59	7517	92718
60	7640	92557
61	7762	92401
62	7877	92149
63	7991	91904
64	8107	91677
65	8207	91275
66	8315	90972
67	8440	90854
68	8562	90713
69	8671	90433
70	8797	90328
71	8935	90351
72	9050	90137
73	9146	89739
74	9269	89605
75	9440	89930
76	9558	89747
77	9678	89584
78	9794	89393
79	9919	89278
80	10018	88927
81	10145	88837
82	10263	88664
83	10361	88320
84	10474	88111
85	10592	87946
86	10710	87780
87	10813	87493
88	10917	87217
89	11032	87032
90	11150	86878
91	11250	86576
92	11364	86395
93	11476	86195
94	11587	85988
95	11704	85829
96	11817	85646
97	11933	85484
98	12050	85329
99	12173	85215
100	12287	85039
101	12411	84934
102	12538	84849
103	12659	84719
104	12782	84605
105	12899	84452
106	13011	84270
107	13132	84145
108	13247	83981
109	13350	83743
110	13469	83607
111	13594	83508
112	13722	83425
113	13839	83279
114	13956	83131
115	14073	82986
116	14186	82816
117	14297	82633
118	14408	82453
119	14524	82305
120	14640	82155
121	14768	82073
122	14881	81911
123	14994	81745
124	15113	81610
125	15232	81483
126	15345	81320
127	15457	81150
128	15561	80944
129	15692	80877
130	15805	80717
131	15908	80506
132	16030	80395
133	16147	80253
134	16267	80131
135	16383	79991
136	16494	79822
137	16608	79670
138	16723	79529
139	16839	79387
140	16958	79261
141	17072	79110
142	17184	78954
143	17292	78778
144	17413	78662
145	17526	78509
146	17634	78336
147	17741	78156
148	17854	78009
149	17962	77835
150	18080	77709
151	18197	77577
152	18310	77432
153	18422	77278
154	18531	77115
155	18649	76987
156	18758	76827
157	18879	76711
158	18986	76542
159	19099	76397
160	19210	76246
161	19321	76095
162	19430	75934
163	19546	75804
164	19665	75684
165	19779	75542
166	19894	75410
167	20001	75245
168	20121	75129
169	20241	75013
170	20355	74874
171	20466	74726
172	20590	74626
173	20704	74488
174	20822	74364
175	20935	74224
176	21048	74086
177	21168	73971
178	21286	73850
179	21402	73719
180	21523	73606
181	21632	73455
182	21744	73312
183	21857	73174
184	21966	73022
185	22082	72897
186	22200	72776
187	22324	72673
188	22434	72527
189	22601	72562
190	22715	72429
191	22830	72298
192	22956	72198
193	23089	72123
194	23221	72046
195	23351	71960
196	23481	71874
197	23615	71800
198	23747	71719
199	23878	71635
200	23993	71503
201	24103	71354
202	24221	71231
203	24338	71107
204	24458	70990
205	24591	70908
206	24718	70811
207	24840	70700
208	24957	70573
209	25066	70425
210	25178	70283
211	25289	70141
212	25396	69989
213	25506	69845
214	25626	69727
215	25766	69663
216	25886	69546
217	25993	69395
218	26046	69101
219	26152	68946
220	26265	68814
221	26392	68715
222	26511	68597
223	26615	68440
224	26721	68287
225	26829	68142
226	26946	68020
227	27056	67879
228	27164	67732
229	27278	67602
230	27396	67483
231	27517	67370
232	27629	67236
233	27726	67065
234	27840	66934
235	27951	66798
236	28070	66681
237	28188	66562
238	28307	66446
239	28424	66322
240	28530	66176
241	28646	66053
242	28761	65926
243	28867	65779
244	28976	65641
245	29091	65516
246	29205	65386
247	29317	65254
248	29436	65139
249	29536	64979
250	29650	64853
251	29752	64700
252	29870	64580
253	29997	64481
254	30112	64357
255	30229	64237
256	30340	64104
257	30451	63971
258	30567	63849
259	30678	63717
260	30795	63597
261	30910	63473
262	31029	63356
263	31142	63229
264	31253	63097
265	31371	62978
266	31482	62847
267	31597	62723
268	31694	62564
269	31806	62435
270	31926	62320
271	32041	62198
272	32140	62043
273	32262	61934
274	32375	61807
275	32491	61686
276	32602	61556
277	32721	61440
278	32841	61327
279	32950	61193
280	33068	61077
281	33185	60957
282	33297	60830
283	33410	60702
284	33528	60586
285	33639	60457
286	33746	60320
287	33860	60196
288	33971	60066
289	34086	59945
290	34202	59825
291	34314	59697
292	34427	59571
293	34541	59449
294	34651	59318
295	34774	59210
296	34891	59092
297	35003	58965
298	35116	58840
299	35232	58720
300	35349	58602
301	35464	58481
302	35580	58361
303	35751	58331
304	35862	58202
305	35974	58077
306	36096	57966
307	36215	57850
308	36337	57740
309	36456	57624
310	36564	57492
311	36689	57385
312	36797	57253
313	36916	57137
314	37034	57021
315	37156	56911
316	37284	56808
317	37405	56695
318	37523	56578
319	37643	56465
320	37747	56327
321	37859	56200
322	37979	56087
323	38096	55968
324	38211	55847
325	38313	55708
326	38430	55589
327	38544	55466
328	38654	55338
329	38771	55220
330	38882	55092
331	38995	54969
332	39105	54842
333	39218	54717
334	39334	54598
335	39454	54484
336	39573	54369
337	39692	54254
338	39809	54136
339	39929	54022
340	40049	53907
341	40165	53789
342	40276	53662
343	40398	53551
344	40511	53428
345	40623	53303
346	40739	53184
347	40857	53067
348	40974	52949
349	41085	52823
350	41198	52701
351	41317	52585
352	41421	52451
353	41530	52323
354	41646	52204
355	41766	52090
356	41874	51962
357	41991	51844
358	42105	51723
359	42221	51604
360	42334	51481
361	42447	51359
362	42563	51240
363	42677	51118
364	42806	51015
365	42925	50901
366	43043	50783
367	43153	50658
368	43270	50540
369	43386	50422
370	43506	50307
371	43622	50189
372	43740	50072
373	43850	49947
374	43961	49822
375	44075	49702
376	44185	49576
377	44304	49461
378	44420	49343
379	44527	49214
380	44645	49098
381	44778	48998
382	44896	48881
383	45016	48767
384	45128	48645
385	45248	48530
386	45361	48408
387	45475	48288
388	45585	48163
389	45699	48043
390	45809	47917
391	45921	47795
392	46033	47673
393	46152	47557
394	46238	47409
395	46350	47287
396	46467	47169
397	46583	47051
398	46702	46936
399	46820	46820
400	46931	46697
401	47039	46571
402	47135	46434
403	47261	46325
404	47376	46206
405	47485	46081
406	47593	45956
407	47711	45840
408	47828	45723
409	47941	45603
410	48060	45487
411	48216	45407
412	48350	45307
413	48462	45184
414	48588	45076
415	48711	44964
416	48829	44848
417	48941	44726
418	49060	44610
419	49173	44490
420	49289	44372
421	49396	44246
422	49506	44123
423	49624	44006
424	49745	43893
425	49860	43773
426	49978	43657
427	50093	43538
428	50221	43432
429	50337	43313
430	50455	43197
431	50575	43082
432	50694	42967
433	50805	42845
434	50909	42716
435	51029	42602
436	51145	42484
437	51261	42366
438	51378	42249
439	51511	42145
440	51629	42029
441	51748	41914
442	51865	41796
443	51984	41681
444	52093	41557
445	52210	41440
446	52314	41313
447	52401	41172
448	52514	41052
449	52630	40934
450	52750	40820
451	52861	40698
452	52969	40574
453	53080	40453
454	53196	40335
455	53306	40213
456	53421	40095
457	53534	39975
458	53653	39860
459	53770	39743
460	53883	39623
461	54001	39507
462	54120	39392
463	54248	39283
464	54367	39168
465	54479	39047
466	54590	38926
467	54711	38812
468	54834	38699
469	54945	38579
470	55058	38459
471	55170	38338
472	55289	38223
473	55399	38101
474	55519	37986
475	55621	37860
476	55746	37748
477	55856	37627
478	55974	37510
479	56087	37391
480	56206	37276
481	56325	37161
482	56436	37039
483	56551	36922
484	56667	36804
485	56785	36688
486	56900	36570
487	57015	36452
488	57132	36335
489	57219	36200
490	57340	36085
491	57447	35962
492	57561	35844
493	57682	35730
494	57801	35614
495	57910	35493
496	58023	35374
497	58138	35256
498	58253	35138
499	58368	35021
500	58486	34905
501	58602	34787
502	58725	34674
503	58840	34557
504	58958	34441
505	59069	34320
506	59180	34200
507	59295	34083
508	59410	33965
509	59525	33847
510	59641	33730
511	59750	33609
512	59908	33516
513	60023	33398
514	60140	33281
515	60268	33170
516	60389	33056
517	60508	32940
518	60624	32823
519	60746	32709
520	60864	32593
521	60983	32477
522	61129	32376
523	61247	32260
524	61358	32140
525	61469	32020
526	61583	31902
527	61701	31785
528	61822	31670
529	61942	31555
530	62053	31435
531	62170	31318
532	62292	31204
533	62407	31086
534	62520	30968
535	62639	30852
536	62750	30732
537	62862	30613
538	62980	30497
539	63094	30379
540	63208	30260
541	63320	30141
542	63439	30025
543	63551	29906
544	63676	29793
545	63786	29673
546	63906	29558
547	64021	29440
548	64139	29324
549	64252	29205
550	64371	29089
551	64512	28983
552	64640	28871
553	64760	28756
554	64879	28640
555	64998	28524
556	65118	28408
557	65237	28293
558	65355	28176
559	65479	28062
560	65591	27943
561	65708	27826
562	65819	27707
563	65920	27583
564	66034	27465
565	66151	27348
566	66274	27234
567	66390	27117
568	66512	27002
569	66633	26887
570	66751	26770
571	66867	26653
572	66977	26533
573	67095	26417
574	67206	26298
575	67321	26180
576	67438	26063
